Major_Type	tec	sampleID	Total_count
SV	LRS	GTOP-CA241	21006
SV	LRS	GTOP-CB051	20533
SV	LRS	GTOP-CB052	21016
SV	LRS	GTOP-CB121	20931
SV	LRS	GTOP-CB151	21152
SV	LRS	GTOP-CB161	21117
SV	LRS	GTOP-CB261	20624
SV	LRS	GTOP-CB271	20870
SV	LRS	GTOP-CB281	20980
SV	LRS	GTOP-CC031	21039
SV	LRS	GTOP-CC041	20801
SV	LRS	GTOP-CC061	20679
SV	LRS	GTOP-CC121	21191
SV	LRS	GTOP-CC131	20600
SV	LRS	GTOP-CC141	20617
SV	LRS	GTOP-CC201	21155
SV	LRS	GTOP-CC231	21384
SV	LRS	GTOP-CC241	21591
SV	LRS	GTOP-CC251	20970
SV	LRS	GTOP-CC291	21280
SV	LRS	GTOP-CC311	20782
SV	LRS	GTOP-CD021	21114
SV	LRS	GTOP-CD121	21328
SV	LRS	GTOP-CE111	20292
SV	LRS	GTOP-CE131	20718
SV	LRS	GTOP-CE141	21722
SV	LRS	GTOP-CE161	20687
SV	LRS	GTOP-CF011	21647
SV	LRS	GTOP-CF051	22233
SV	LRS	GTOP-CF121	20898
SV	LRS	GTOP-CF201	20998
SV	LRS	GTOP-CF221	20211
SV	LRS	GTOP-CF241	21329
SV	LRS	GTOP-CF242	21811
SV	LRS	GTOP-CF301	20978
SV	LRS	GTOP-CG041	20853
SV	LRS	GTOP-CG061	21003
SV	LRS	GTOP-CG071	21279
SV	LRS	GTOP-CG091	20211
SV	LRS	GTOP-CG111	21771
SV	LRS	GTOP-CG171	20600
SV	LRS	GTOP-CG172	22070
SV	LRS	GTOP-CG191	20893
SV	LRS	GTOP-CG211	21371
SV	LRS	GTOP-CG261	20650
SV	LRS	GTOP-CG271	21004
SV	LRS	GTOP-CH041	20695
SV	LRS	GTOP-CH081	21004
SV	LRS	GTOP-CH082	20797
SV	LRS	GTOP-CH091	20775
SV	LRS	GTOP-CH101	20915
SV	LRS	GTOP-CH102	20941
SV	LRS	GTOP-CI161	20847
SV	LRS	GTOP-CI201	20870
SV	LRS	GTOP-CI211	20637
SV	LRS	GTOP-CI221	20627
SV	LRS	GTOP-CI222	21090
